Income (Median household income) for Texas by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Colorado County",48089,"68,554","1,154"
"Mason County",48319,"68,750","1,139"
"Coryell County",48099,"68,904","1,130"
"Bosque County",48035,"69,339","1,100"
"Atascosa County",48013,"69,413","1,098"
"Bandera County",48019,"69,703","1,079"
"Victoria County",48469,"70,101","1,049"
"Hunt County",48231,"70,112","1,048"
"King County",48269,"70,192","1,041"
"Reagan County",48383,"70,288","1,025"
"Grayson County",48181,"70,455","1,019"
"Bexar County",48029,"70,571","1,009"
"Bailey County",48017,"70,625","1,001"
"Ector County",48135,"71,031","976"
"Kent County",48263,"71,420","947"
"Lipscomb County",48295,"71,442","944"
"Howard County",48227,"71,457","939"
"Ward County",48475,"71,719","920"
"Calhoun County",48057,"71,870","907"
"Smith County",48423,"71,923","901"
"Archer County",48009,"71,958","899"
"Hemphill County",48211,"72,052","895"
"Dallam County",48111,"72,332","879"
"Cooke County",48097,"72,472","865"
"Hardin County",48199,"72,532","858"
"Burleson County",48051,"72,888","825"
"Harris County",48201,"73,104","808"
"Orange County",48361,"73,372","795"
"Medina County",48325,"73,462","789"
"Dallas County",48113,"74,149","760"
"Sherman County",48421,"74,167","754"
"Sutton County",48435,"75,000","713"
"Washington County",48477,"75,085","706"
"Austin County",48015,"75,994","674"
"Waller County",48473,"76,135","669"
"Oldham County",48359,"76,402","656"
"Fayette County",48149,"76,541","646"
"Gaines County",48165,"76,605","644"
"Andrews County",48003,"76,902","632"
"Lampasas County",48281,"76,919","631"
"Martin County",48317,"77,083","622"
"Burnet County",48053,"77,158","620"
"Clay County",48077,"77,355","612"
"Sterling County",48431,"78,750","553"
"Randall County",48381,"80,905","478"
"Crockett County",48105,"81,739","452"
"Johnson County",48251,"81,826","449"
"Tarrant County",48439,"81,905","447"
"Hartley County",48205,"82,122","442"
"Yoakum County",48501,"82,261","438"
"Bastrop County",48021,"82,730","427"
"Somervell County",48425,"83,382","401"
"Carson County",48065,"84,583","369"
"Galveston County",48167,"85,348","352"
"Hays County",48209,"85,827","340"
"Hood County",48221,"86,802","315"
"Blanco County",48031,"87,564","298"
"Kaufman County",48257,"88,606","275"
"Wise County",48497,"89,897","255"
"Schleicher County",48413,"90,141","249"
"Winkler County",48495,"91,898","232"
"Wilson County",48493,"92,461","227"
"Guadalupe County",48187,"93,776","213"
"Midland County",48329,"93,984","211"
"Brazoria County",48039,"95,155","194"
"Ellis County",48139,"95,898","185"
"Travis County",48453,"97,169","170"
"Montgomery County",48339,"97,266","168"
"Comal County",48091,"99,015","156"
"Parker County",48367,"102,099","132"
"Glasscock County",48173,"106,806","103"
"Chambers County",48071,"108,114","93"
"Denton County",48121,"108,185","92"
"Williamson County",48491,"108,309","90"
"Kendall County",48259,"110,498","78"
"Fort Bend County",48157,"113,409","66"
"Collin County",48085,"117,588","53"
"Rockwall County",48397,"124,917","34"
"Kenedy County",48261,NA,"N/A"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 10/13/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
