Population (Age 18 to 39) for Texas by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
"Kinney County",48271,31.0,972,"2,769"
"Concho County",48095,30.9,1021,"2,755"
"Moore County",48341,30.9,6559,"2,755"
"Dallam County",48111,30.8,2209,"2,744"
"Hidalgo County",48215,30.8,271188,"2,744"
"Kaufman County",48257,30.8,49511,"2,744"
"Live Oak County",48297,30.7,3511,"2,736"
"Randall County",48381,30.7,44200,"2,736"
"San Saba County",48411,30.7,1779,"2,736"
"Terry County",48445,30.7,3590,"2,736"
"Brewster County",48043,30.6,2896,"2,726"
"Deaf Smith County",48117,30.6,5656,"2,726"
"Swisher County",48437,30.6,2133,"2,726"
"Nueces County",48355,30.5,107443,"2,713"
"Maverick County",48323,30.4,17556,"2,705"
"Starr County",48427,30.4,20026,"2,705"
"Pecos County",48371,30.3,4541,"2,686"
"Uvalde County",48463,30.3,7520,"2,686"
"Williamson County",48491,30.3,195281,"2,686"
"Zapata County",48505,30.3,4201,"2,686"
"Gregg County",48183,29.9,37306,"2,633"
"Caldwell County",48055,29.8,14082,"2,610"
"Jim Wells County",48249,29.8,11583,"2,610"
"Potter County",48375,29.8,34801,"2,610"
"Brazoria County",48039,29.7,113429,"2,596"
"Hale County",48189,29.7,9582,"2,596"
"King County",48269,29.6,56,"2,583"
"Guadalupe County",48187,29.5,52591,"2,567"
"Liberty County",48291,29.5,28888,"2,567"
"Ochiltree County",48357,29.5,2902,"2,567"
"Scurry County",48415,29.5,4912,"2,567"
"Castro County",48069,29.4,2158,"2,543"
"Chambers County",48071,29.4,14452,"2,543"
"Gray County",48179,29.4,6208,"2,543"
"Ward County",48475,29.4,3311,"2,543"
"Collin County",48085,29.3,326637,"2,518"
"Hunt County",48231,29.3,30700,"2,518"
"Jefferson County",48245,29.3,74286,"2,518"
"Victoria County",48469,29.3,26774,"2,518"
"Cameron County",48061,29.1,123259,"2,483"
"Smith County",48423,28.8,68513,"2,421"
"Johnson County",48251,28.7,54146,"2,407"
"Rusk County",48401,28.7,15117,"2,407"
"Reagan County",48383,28.5,930,"2,370"
"Bowie County",48037,28.4,26263,"2,349"
"Ellis County",48139,28.4,57944,"2,349"
"Gaines County",48165,28.4,6216,"2,349"
"Hockley County",48219,28.3,6082,"2,332"
"Parmer County",48369,28.3,2755,"2,332"
"Atascosa County",48013,28.2,14109,"2,310"
"Borden County",48033,28.2,204,"2,310"
"Medina County",48325,28.2,14783,"2,310"
"Hartley County",48205,28.1,1489,"2,293"
"Wilbarger County",48487,28.1,3570,"2,293"
"Hutchinson County",48233,28.0,5710,"2,265"
"Lynn County",48305,28.0,1587,"2,265"
"Montgomery County",48339,28.0,183132,"2,265"
"Zavala County",48507,28.0,2671,"2,265"
"Donley County",48129,27.9,913,"2,245"
"Brown County",48049,27.8,10630,"2,214"
"Fannin County",48147,27.8,10163,"2,214"
"Galveston County",48167,27.8,98765,"2,214"
"La Salle County",48283,27.8,1934,"2,214"
"Nolan County",48353,27.8,4043,"2,214"
"Winkler County",48495,27.8,2093,"2,214"
"San Patricio County",48409,27.7,19249,"2,190"
"Fort Bend County",48157,27.4,235395,"2,110"
"Matagorda County",48321,27.4,9957,"2,110"
"McMullen County",48311,27.4,171,"2,110"
"Orange County",48361,27.4,23248,"2,110"
"Titus County",48449,27.4,8587,"2,110"
"Navarro County",48349,27.2,14592,"2,053"
"Angelina County",48005,27.1,23511,"2,029"
"Harrison County",48203,27.1,18836,"2,029"
"Rockwall County",48397,27.1,31634,"2,029"
"Kenedy County",48261,26.9,14,"1,965"
"Schleicher County",48413,26.9,652,"1,965"
"Washington County",48477,26.9,9722,"1,965"
"Bastrop County",48021,26.8,27445,"1,935"
"Cherokee County",48073,26.8,13725,"1,935"
"Fisher County",48151,26.8,981,"1,935"
"Calhoun County",48057,26.7,5313,"1,897"
"Grayson County",48181,26.6,37244,"1,860"
"Stephens County",48429,26.6,2464,"1,860"
"Sutton County",48435,26.6,881,"1,860"
"Grimes County",48185,26.5,8051,"1,822"
"Lee County",48287,26.3,4677,"1,756"
"Wilson County",48493,26.3,13555,"1,756"
"Hardin County",48199,26.2,14949,"1,709"
"Hopkins County",48223,26.2,9770,"1,709"
"Wharton County",48481,26.2,10928,"1,709"
"Cooke County",48097,26.1,11074,"1,666"
"Falls County",48145,26.1,4457,"1,666"
"Jack County",48237,26.1,2250,"1,666"
"Parker County",48367,26.1,41266,"1,666"
"Tyler County",48457,26.1,5251,"1,666"
"Lamb County",48279,26.0,3359,"1,631"
"Panola County",48365,26.0,5881,"1,631"
"Lamar County",48277,25.9,13036,"1,595"
"Limestone County",48293,25.8,5734,"1,560"
"Hill County",48217,25.7,9431,"1,522"
"Milam County",48331,25.7,6504,"1,522"
"Palo Pinto County",48363,25.7,7433,"1,522"
"Polk County",48373,25.7,13287,"1,522"
"Somervell County",48425,25.7,2441,"1,522"
"Upshur County",48459,25.7,10750,"1,522"
"Bailey County",48017,25.6,1803,"1,490"
"Haskell County",48207,25.5,1376,"1,454"
"Cochran County",48079,25.4,641,"1,421"
"Crosby County",48107,25.4,1290,"1,421"
"Wise County",48497,25.4,18374,"1,421"
"Crane County",48103,25.3,1168,"1,381"
"Hemphill County",48211,25.3,839,"1,381"
"DeWitt County",48123,25.2,4996,"1,354"
"Comal County",48091,25.1,43822,"1,317"
"Hardeman County",48197,25.1,887,"1,317"
"Young County",48503,25.1,4510,"1,317"
"Hall County",48191,25.0,707,"1,280"
"Floyd County",48153,24.9,1320,"1,229"
"Gonzales County",48177,24.9,4919,"1,229"
"Eastland County",48133,24.8,4422,"1,184"
"Runnels County",48399,24.8,2452,"1,184"
"Camp County",48063,24.7,3129,"1,154"
"Martin County",48317,24.7,1293,"1,154"
"Upton County",48461,24.7,797,"1,154"
"Houston County",48225,24.6,5429,"1,125"
"Hansford County",48195,24.5,1267,"1,089"
"Oldham County",48359,24.5,514,"1,089"
"Sterling County",48431,24.5,340,"1,089"
"Robertson County",48395,24.3,4132,"1,027"
"Burnet County",48053,24.2,12345,"992"
"Delta County",48119,24.2,1294,"992"
"Van Zandt County",48467,24.2,14831,"992"
"Carson County",48065,24.1,1399,"960"
"Austin County",48015,24.0,7372,"937"
"Callahan County",48059,24.0,3365,"937"
"Freestone County",48161,23.9,4735,"909"
"Goliad County",48175,23.8,1687,"879"
"Wheeler County",48483,23.8,1166,"879"
"Kerr County",48265,23.7,12619,"851"
"Shelby County",48419,23.7,5722,"851"
"Cass County",48067,23.6,6744,"817"
"Lampasas County",48281,23.6,5255,"817"
"Morris County",48343,23.6,2834,"817"
"Newton County",48351,23.6,2880,"817"
"Henderson County",48213,23.5,19691,"786"
"Jasper County",48241,23.5,7725,"786"
"Lipscomb County",48295,23.5,697,"786"
"Shackelford County",48417,23.5,745,"786"
"Hamilton County",48193,23.3,1935,"731"
"Archer County",48009,23.2,2026,"708"
"Collingsworth County",48087,23.2,634,"708"
"Throckmorton County",48447,23.2,369,"708"
"Bosque County",48035,23.1,4283,"679"
"Lavaca County",48285,23.0,4719,"651"
"Refugio County",48391,23.0,1542,"651"
"Armstrong County",48011,22.9,432,"630"
"Kendall County",48259,22.9,10767,"630"
"Comanche County",48093,22.8,3138,"599"
"Franklin County",48159,22.8,2399,"599"
"Knox County",48275,22.8,757,"599"
"Aransas County",48007,22.6,5531,"545"
"Colorado County",48089,22.6,4677,"545"
"McCulloch County",48307,22.5,1700,"526"
"Glasscock County",48173,22.4,240,"506"
"Roberts County",48393,22.4,176,"506"
"Yoakum County",48501,22.4,1699,"506"
"Burleson County",48051,22.3,4096,"482"
"Montague County",48337,22.3,4598,"482"
"Jackson County",48239,22.2,3350,"461"
"San Jacinto County",48407,22.1,6182,"448"
"Wood County",48499,21.9,10095,"408"
"Leon County",48289,21.8,3506,"394"
"Crockett County",48105,21.7,626,"384"
"Hood County",48221,21.7,13927,"384"
"Clay County",48077,21.6,2244,"365"
"Marion County",48315,21.5,2073,"348"
"Cottle County",48101,21.4,279,"330"
"Rains County",48379,21.4,2679,"330"
"San Augustine County",48405,21.4,1689,"330"
"Fayette County",48149,21.2,5248,"302"
"Dickens County",48125,21.1,347,"288"
"Culberson County",48109,20.9,455,"263"
"Red River County",48387,20.9,2426,"263"
"Motley County",48345,20.8,264,"246"
"Coke County",48081,20.7,685,"229"
"Gillespie County",48171,20.7,5619,"229"
"Irion County",48235,20.7,297,"229"
"Trinity County",48455,20.6,2856,"223"
"Foard County",48155,19.9,215,"165"
"Coleman County",48083,19.8,1541,"155"
"Blanco County",48031,19.7,2367,"149"
"Mason County",48319,19.6,775,"139"
"Stonewall County",48433,19.4,241,"125"
"Briscoe County",48045,19.1,233,"110"
"Kimble County",48267,19.1,833,"110"
"Baylor County",48023,18.5,641,"79"
"Sabine County",48403,18.5,1854,"79"
"Presidio County",48377,17.6,1065,"58"
"Bandera County",48019,17.3,3740,"53"
"Llano County",48299,16.6,3643,"34"
"Mills County",48333,16.5,743,"31"
"Kent County",48263,15.4,112,"20"
"Menard County",48327,15.1,296,"18"
"Real County",48385,13.5,380,"9"
"Terrell County",48443,11.3,96,"3"
"Jeff Davis County",48243,10.9,189,"2"
"Loving County",48301,3.7,2,"1"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 10/15/2025. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age 18 to 39), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#population."
