
County,FIPS,Value (Percent),People (Age 40 And Over),Rank within US (of 3143 counties)
"Hunt County",48231,46.4,48682,"2,610"
"Lamb County",48279,46.5,6002,"2,597"
"Lipscomb County",48295,46.5,1377,"2,597"
"Nolan County",48353,46.6,6789,"2,582"
"Hansford County",48195,46.7,2419,"2,571"
"Caldwell County",48055,46.8,22060,"2,556"
"Hutchinson County",48233,46.8,9563,"2,556"
"Matagorda County",48321,46.8,16989,"2,556"
"Mitchell County",48335,46.9,4215,"2,546"
"Smith County",48423,46.9,111592,"2,546"
"Bastrop County",48021,47.2,48351,"2,510"
"Orange County",48361,47.3,40173,"2,501"
"Angelina County",48005,47.4,41118,"2,489"
"Karnes County",48255,47.4,7022,"2,489"
"Cochran County",48079,47.5,1197,"2,477"
"Bowie County",48037,47.7,44008,"2,451"
"Cherokee County",48073,47.7,24418,"2,451"
"Collingsworth County",48087,47.9,1310,"2,429"
"Brooks County",48047,48.1,3360,"2,398"
"Edwards County",48137,48.1,669,"2,398"
"Wharton County",48481,48.2,20074,"2,375"
"Galveston County",48167,48.3,171322,"2,354"
"Jones County",48253,48.3,9644,"2,354"
"Garza County",48169,48.4,2632,"2,334"
"Harrison County",48203,48.6,33826,"2,301"
"Rusk County",48401,48.6,25564,"2,301"
"Crane County",48103,48.7,2252,"2,283"
"Live Oak County",48297,48.8,5589,"2,265"
"Anderson County",48001,48.9,28257,"2,240"
"Camp County",48063,48.9,6182,"2,240"
"Crosby County",48107,48.9,2482,"2,240"
"La Salle County",48283,48.9,3394,"2,240"
"Gonzales County",48177,49.0,9686,"2,224"
"Hardin County",48199,49.0,28005,"2,224"
"Floyd County",48153,49.1,2597,"2,207"
"Medina County",48325,49.1,25758,"2,207"
"Parker County",48367,49.1,77650,"2,207"
"Schleicher County",48413,49.2,1194,"2,189"
"Grayson County",48181,49.3,68984,"2,161"
"Hartley County",48205,49.4,2620,"2,131"
"Hopkins County",48223,49.4,18467,"2,131"
"Wilbarger County",48487,49.4,6283,"2,131"
"Roberts County",48393,49.6,389,"2,089"
"Calhoun County",48057,50.0,9953,"2,012"
"Lamar County",48277,50.0,25200,"2,012"
"Shelby County",48419,50.0,12047,"2,012"
"Wise County",48497,50.0,36149,"2,012"
"San Saba County",48411,50.2,2910,"1,964"
"Wilson County",48493,50.2,25828,"1,964"
"Upshur County",48459,50.3,21058,"1,935"
"Cooke County",48097,50.5,21452,"1,892"
"Fannin County",48147,50.8,18566,"1,823"
"Panola County",48365,50.8,11500,"1,823"
"Hill County",48217,50.9,18665,"1,802"
"Grimes County",48185,51.0,15495,"1,782"
"Palo Pinto County",48363,51.1,14772,"1,751"
"Young County",48503,51.1,9176,"1,751"
"Hemphill County",48211,51.2,1696,"1,733"
"Knox County",48275,51.3,1705,"1,696"
"Milam County",48331,51.3,12966,"1,696"
"Brown County",48049,51.4,19692,"1,669"
"Runnels County",48399,51.6,5101,"1,629"
"Washington County",48477,51.6,18650,"1,629"
"Jack County",48237,51.7,4455,"1,591"
"Limestone County",48293,51.7,11460,"1,591"
"Robertson County",48395,51.7,8776,"1,591"
"Wheeler County",48483,51.8,2537,"1,570"
"King County",48269,51.9,98,"1,542"
"Delta County",48119,52.0,2782,"1,517"
"Glasscock County",48173,52.0,556,"1,517"
"Lee County",48287,52.1,9248,"1,497"
"Stephens County",48429,52.1,4833,"1,497"
"DeWitt County",48123,52.2,10370,"1,468"
"Brewster County",48043,52.3,4945,"1,441"
"Austin County",48015,52.4,16098,"1,415"
"Fisher County",48151,52.4,1918,"1,415"
"Comal County",48091,52.7,91939,"1,343"
"Somervell County",48425,52.7,5010,"1,343"
"Falls County",48145,52.8,9002,"1,309"
"Upton County",48461,52.8,1703,"1,309"
"Van Zandt County",48467,52.8,32378,"1,309"
"Jasper County",48241,52.9,17369,"1,283"
"Hall County",48191,53.2,1504,"1,214"
"Lavaca County",48285,53.2,10903,"1,214"
"Carson County",48065,53.4,3100,"1,162"
"Freestone County",48161,53.4,10571,"1,162"
"Jackson County",48239,53.5,8073,"1,137"
"Morris County",48343,53.5,6422,"1,137"
"Archer County",48009,53.8,4696,"1,078"
"Cass County",48067,53.8,15377,"1,078"
"Eastland County",48133,53.8,9600,"1,078"
"Stonewall County",48433,53.8,669,"1,078"
"Shackelford County",48417,53.9,1707,"1,056"
"Polk County",48373,54.0,27953,"1,038"
"Colorado County",48089,54.1,11215,"1,011"
"Donley County",48129,54.2,1777,"977"
"Comanche County",48093,54.3,7488,"959"
"Kendall County",48259,54.4,25529,"936"
"Tyler County",48457,54.4,10926,"936"
"Hardeman County",48197,54.5,1924,"912"
"Callahan County",48059,54.6,7647,"889"
"Franklin County",48159,54.6,5743,"889"
"Hamilton County",48193,54.6,4540,"889"
"Presidio County",48377,54.6,3298,"889"
"Refugio County",48391,54.6,3657,"889"
"Lampasas County",48281,54.7,12177,"870"
"Montague County",48337,54.8,11287,"848"
"Henderson County",48213,55.0,46031,"818"
"Crockett County",48105,55.1,1588,"797"
"Armstrong County",48011,55.3,1042,"770"
"Burnet County",48053,55.3,28255,"770"
"Houston County",48225,55.3,12198,"770"
"Irion County",48235,55.3,792,"770"
"Leon County",48289,55.4,8906,"755"
"Burleson County",48051,55.6,10198,"718"
"Throckmorton County",48447,55.9,888,"666"
"Bosque County",48035,56.0,10391,"655"
"McCulloch County",48307,56.0,4239,"655"
"Goliad County",48175,56.1,3981,"640"
"Concho County",48095,56.3,1859,"618"
"San Jacinto County",48407,56.3,15752,"618"
"Newton County",48351,56.4,6875,"607"
"Cottle County",48101,56.5,736,"598"
"Foard County",48155,56.5,610,"598"
"Haskell County",48207,57.0,3074,"548"
"Dickens County",48125,57.2,939,"523"
"Mason County",48319,57.3,2262,"511"
"Culberson County",48109,57.5,1255,"493"
"Hood County",48221,57.6,36990,"478"
"Coke County",48081,57.7,1914,"465"
"Kerr County",48265,57.9,30760,"446"
"Baylor County",48023,58.2,2017,"409"
"San Augustine County",48405,58.5,4615,"371"
"Clay County",48077,58.8,6118,"352"
"Fayette County",48149,58.8,14562,"352"
"Red River County",48387,58.9,6845,"340"
"Wood County",48499,59.2,27271,"320"
"Rains County",48379,59.3,7412,"314"
"Coleman County",48083,59.6,4627,"288"
"Trinity County",48455,59.8,8285,"272"
"Gillespie County",48171,59.9,16306,"262"
"Real County",48385,59.9,1689,"262"
"Aransas County",48007,60.0,14669,"256"
"Kinney County",48271,60.3,1894,"243"
"Marion County",48315,60.5,5824,"229"
"Menard County",48327,61.2,1202,"186"
"Motley County",48345,61.7,782,"172"
"Blanco County",48031,62.4,7495,"148"
"Briscoe County",48045,63.1,772,"124"
"Sabine County",48403,63.8,6374,"100"
"Kimble County",48267,64.5,2808,"87"
"Mills County",48333,65.5,2947,"63"
"Bandera County",48019,66.0,14253,"55"
"Kent County",48263,67.1,488,"45"
"Kenedy County",48261,67.3,35,"41"
"Llano County",48299,67.9,14936,"36"
"Jeff Davis County",48243,72.2,1257,"8"
"Terrell County",48443,74.6,635,"5"
"Loving County",48301,96.3,52,"1"
